"collision_index","vehicle_reference","casualty_reference","casualty_class","casualty_severity","pedestrian_location","pedestrian_movement","car_passenger","casualty_type"
"197905H200700",1,1,1,3,0,0,0,109
"197952FKE0696",1,1,2,3,0,0,1,109
"197997NC01901",2,1,2,3,0,0,1,109
"1979316110883",1,1,2,3,0,0,2,109
"197901F9MCD21",1,1,2,3,0,0,0,11
"197901JARGE70",2,1,1,3,0,0,0,104
"19794000B0984",1,2,2,3,0,0,1,109
"1979557920388",1,4,2,3,0,0,2,108
"197945BD00453",1,1,1,3,0,0,0,109
"197934DT00042",2,2,1,2,0,0,0,109
"197945AD00113",1,1,1,3,0,0,0,109
"197901K6IDV08",2,4,2,3,0,0,-1,109
"1979309C02595",2,1,1,3,0,0,0,104
"1979927902583",1,1,1,3,0,0,0,109
"1979355105279",1,1,1,3,0,0,0,103
"197947NA90742",1,2,2,3,0,0,0,113
"197906K001401",2,4,2,3,0,0,2,108
"197901IHNAC82",1,1,1,3,0,0,0,19
"1979360011523",2,2,1,2,0,0,0,109
"1979600C07135",3,1,1,2,0,0,0,104
"197901HSOJZ75",1,1,1,3,0,0,0,2
"197995779G005",1,1,2,3,0,0,1,109
"197905B300622",2,1,1,3,0,0,0,109
"197901CGMJF21",1,1,1,3,0,0,0,109
"1979927906722",1,1,1,3,0,0,0,109
"197901IANCC11",2,1,2,3,0,0,0,11
"197912A062579",1,3,2,3,0,0,1,109
"1979040CD0165",1,1,3,2,5,1,0,0
"19794000C1859",1,1,3,3,5,3,0,0
"197901CTFGF11",1,1,2,3,0,0,0,11
"197945CD00253",1,2,2,3,0,0,1,109
"1979119DJ1401",2,9,2,3,0,0,2,108
"197905D100549",1,1,3,3,5,1,0,0
"197952LNA1074",2,1,1,3,0,0,0,109
"1979530NI0627",1,1,3,3,5,1,0,0
"1979557922049",1,1,3,2,9,5,0,0
"1979219500608",1,1,3,3,9,5,0,0
"1979440CF0177",1,2,2,3,0,0,1,109
"197901LRPEV95",1,1,1,3,0,0,0,109
"19799379E0809",2,1,1,2,0,0,0,104
"197920A09J505",1,1,1,3,0,0,0,19
"197901K7RKO28",1,1,1,3,0,0,0,1
"19793379N0192",2,2,1,2,0,0,0,104
"197950B150626",1,1,3,2,9,7,0,0
"197916P130521",2,1,1,3,0,0,0,104
"1979620J03930",1,2,2,3,0,0,2,109
"197901CMHLF27",1,1,3,3,5,9,0,0
"197997LG01611",1,1,3,3,5,3,0,0
"1979620D05790",2,1,1,2,0,0,0,109
"1979360050664",1,1,3,3,4,1,0,0
"19794141E2004",2,2,2,3,0,0,1,109
"1979557911460",1,1,2,3,0,0,0,104
"1979620E02600",1,1,2,3,0,0,1,109
"197907FUGL280",1,1,1,2,0,0,0,109
"197906L002698",1,1,1,2,0,0,0,109
"197945FD00295",1,1,1,2,0,0,0,109
"197912B196879",2,1,1,2,0,0,0,104
"1979927904504",2,1,1,3,0,0,0,109
"197947TA90132",1,1,3,3,4,1,0,0
"197901EFPAE42",1,1,1,3,0,0,0,104
"1979467201019",1,2,2,3,0,0,1,109
"1979230001518",1,3,2,3,0,0,1,109
"1979420070265",1,1,1,3,0,0,0,109
"197901C2PDD28",2,1,1,3,0,0,0,1
"197901JLUAC60",1,1,1,3,0,0,0,104
"197932B062879",1,1,1,3,0,0,0,110
"197903J202350",1,1,1,3,0,0,0,104
"197901EAQDI20",2,1,1,3,0,0,0,1
"197905B301431",1,1,3,3,5,1,0,0
"19796379A0241",1,1,3,3,5,3,0,0
"197920JCNEO50",1,1,1,2,0,0,0,104
"1979219600294",1,1,2,3,0,0,1,109
"197954CT03769",1,1,1,3,0,0,0,109
"197901K6RLC78",1,1,1,3,0,0,0,104
"197913Q228979",1,1,3,3,5,2,0,0
"197901BJHDE77",1,1,2,3,0,0,0,11
"197954CT01179",1,1,1,3,0,0,0,109
"1979119CI0562",1,1,1,3,0,0,0,109
"1979119CG0528",1,1,1,3,0,0,0,104
"197903G104310",2,4,1,3,0,0,0,109
"197947YA90161",2,3,2,3,0,0,2,109
"1979360020869",1,1,1,2,0,0,0,1
"1979620J00240",1,1,1,3,0,0,0,109
"1979040CG0182",1,1,3,2,5,2,0,0
"1979557911893",1,1,3,3,5,3,0,0
"1979220204049",1,1,3,3,4,3,0,0
"1979927905399",2,1,1,3,0,0,0,104
"197903A102370",1,1,3,3,5,4,0,0
"197905F101655",2,1,2,3,0,0,1,109
"197920FFJJ300",1,1,1,2,0,0,0,109
"197901IHHDC23",1,1,2,3,0,0,2,108
"197920KLJKO00",1,1,3,3,5,9,0,0
"197932D029079",2,1,1,3,0,0,0,109
"197914A300632",1,1,3,3,10,5,0,0
"197901EUJAD10",1,1,3,3,5,9,0,0
"197901HFKHV07",2,1,1,2,0,0,0,1
"197905B200256",1,1,2,3,0,0,0,11
"197917F301752",2,3,1,2,0,0,0,109
"197906C000278",1,3,2,3,0,0,0,11
"197901J1VJV70",1,1,2,3,0,0,1,109
"1979040HE0698",1,1,3,2,5,3,0,0
"197905F101166",1,1,1,2,0,0,0,104
"197952MYE0744",2,6,2,3,0,0,1,109
"1979420050890",2,1,1,3,0,0,0,109
"1979420090330",1,1,1,3,0,0,0,19
"197937LBHEP30",2,1,1,2,0,0,0,1
"19794141E2172",1,1,2,3,0,0,1,109
"197901AHKCC30",1,1,1,2,0,0,0,19
"197943C123089",1,2,2,3,0,0,2,109
"197901KUOGD10",1,1,3,3,2,9,0,0
"1979557923099",1,1,1,3,0,0,0,109
"1979620F00060",1,1,3,3,5,3,0,0
"197901FBSGL64",1,1,1,3,0,0,0,90
"197903J204080",2,1,1,3,0,0,0,109
"197901CPAEV31",3,2,1,3,0,0,0,109
"19799379W1862",1,1,1,2,0,0,0,1
"197947TA90348",1,1,1,2,0,0,0,104
"197937C2RG312",1,1,1,2,0,0,0,104
"197901HAKCC98",1,2,2,3,0,0,0,11
"197901J2XGD30",2,2,1,3,0,0,0,109
"197945FD00086",1,1,1,3,0,0,0,109
"1979352195479",1,1,1,3,0,0,0,103
"197901E1OFP84",2,2,1,3,0,0,0,113
"197910F019379",1,1,3,3,10,9,0,0
"197901B8QFX90",1,4,2,3,0,0,0,19
"197905H100269",1,1,1,3,0,0,0,19
"197914A201039",1,1,1,3,0,0,0,1
"197916L040317",1,1,2,3,0,0,0,11
"197920EFWG300",2,1,2,3,0,0,-1,109
"197916V010197",2,1,1,3,0,0,0,104
"197901KTLKQ45",1,1,2,3,0,0,0,11
"197901E6BJD12",1,1,3,3,6,9,0,0
"197947TA90213",1,1,1,3,0,0,0,109
"197901DSCAC89",1,2,2,2,0,0,1,109
"197996NS10138",1,1,2,3,0,0,1,109
"1979219300261",1,1,3,3,5,3,0,0
"197920K9IKC00",2,1,1,2,0,0,0,104
"197920I8IEC50",1,1,1,3,0,0,0,113
"197906J002565",1,1,2,3,0,0,0,11
"197913K076479",1,1,2,3,0,0,1,109
"197920B6RF500",1,1,3,3,5,6,0,0
"1979980802296",1,2,2,3,0,0,1,109
"197916T020085",1,1,1,1,0,0,0,109
"197947TA90513",1,1,3,3,5,1,0,0
"1979220704035",1,1,3,3,5,1,0,0
"197996SG01159",1,1,3,2,5,1,0,0
"1979040GK0917",1,2,1,3,0,0,0,109
"197997XA04708",1,1,3,2,5,1,0,0
"197901CNWFU25",1,1,1,3,0,0,0,108
"1979230000196",3,1,1,3,0,0,0,1
"197913M024479",3,1,1,3,0,0,0,2
"197952CRE1026",2,1,1,3,0,0,0,1
"1979313110395",1,1,1,3,0,0,0,109
"197995579E017",1,3,2,3,0,0,1,109
"197912B156579",1,1,3,3,5,3,0,0
"197952FBA1203",1,1,1,3,0,0,0,104
"197905K200641",1,2,3,3,9,9,0,0
"19794000D2403",2,1,1,3,0,0,0,1
"1979910040229",1,1,3,3,5,1,0,0
"197916P130147",1,1,1,3,0,0,0,19
"197901CRRJR32",2,1,1,3,0,0,0,1
"197920J5PJO20",1,1,1,3,0,0,0,11
"197901G7UJQ04",1,1,1,3,0,0,0,19
"1979420060575",2,2,2,3,0,0,1,109
"197901KHMEE03",1,1,2,3,0,0,0,11
"197947TA90237",1,1,1,3,0,0,0,109
"197906F002846",2,1,1,3,0,0,0,1
"197901KAVAW24",1,1,1,3,0,0,0,104
"197945AD00183",1,1,2,2,0,0,2,109
"197901DQNIV30",1,1,2,3,0,0,2,109
"197920BNBH300",1,1,1,3,0,0,0,109
"1979360041048",2,1,1,2,0,0,0,19
"197997QB20105",2,1,1,3,0,0,0,109
"1979040KM0540",2,1,1,3,0,0,0,1
"197901BIABD20",2,2,1,3,0,0,0,109
"19794141F1182",1,1,1,3,0,0,0,109
"197906K002445",2,3,1,3,0,0,0,109
"19799379C1374",2,1,2,3,0,0,1,109
"197910A016779",1,1,2,3,0,0,1,109
"197997CB06710",1,1,3,3,5,1,0,0
