"collision_index","vehicle_reference","vehicle_type","vehicle_manoeuvre","junction_location","skidding_and_overturning","hit_object_in_carriageway","first_point_of_impact","sex_of_driver","age_of_driver","engine_capacity_cc","propulsion_code","age_of_vehicle"
"2014214000919",2,9,19,8,0,0,1,2,34,998,1,2
"2014554C16552",2,9,9,8,0,0,3,1,46,998,1,3
"201442I094703",4,9,3,5,0,0,2,1,58,998,1,5
"201443W158124",1,9,19,0,0,0,1,2,-1,998,1,7
"201406L082426",2,9,19,8,0,0,4,2,20,998,1,1
"201443N081064",1,9,9,8,0,0,1,1,20,998,1,6
"2014440120803",2,9,2,0,0,0,2,2,24,998,1,7
"2014471406235",1,9,19,0,1,0,1,1,31,998,1,4
"2014950003659",2,9,2,0,0,4,2,2,26,998,1,6
"2014950000500",1,9,19,8,5,0,4,2,19,998,1,7
"201497QA01110",1,9,19,0,0,0,1,2,44,998,1,3
"2014214004178",1,9,19,0,0,0,1,2,29,998,1,4
"2014460244031",2,9,9,8,0,0,1,2,39,998,1,1
"2014100624714",1,9,9,6,0,0,3,2,48,998,1,2
"2014621401416",1,9,19,0,1,0,1,1,53,998,1,2
"2014544824814",2,9,7,6,0,0,3,2,74,998,1,9
"2014074382850",2,9,10,1,0,0,2,2,48,998,1,6
"201420H010264",2,9,19,8,0,0,1,2,56,998,1,8
"201497LA03010",2,9,7,3,0,0,2,1,45,998,1,4
"2014404CA0645",2,9,19,8,0,0,1,2,22,998,1,1
"2014521407519",2,9,4,0,0,0,1,2,30,998,1,2
"2014450016247",1,9,1,1,0,0,2,1,85,998,1,5
"201406G083404",1,9,9,6,0,0,3,1,19,998,1,5
"201406P092853",1,9,2,0,0,0,3,2,51,998,1,3
"2014521408759",1,9,19,8,0,0,4,1,44,998,1,6
"201404FL14012",5,9,2,0,0,0,4,3,-1,998,1,5
"2014450019435",1,9,9,1,0,0,1,2,80,998,1,8
"201497BE00305",1,9,19,0,0,0,4,2,22,998,1,3
"2014350219414",1,9,19,6,0,0,1,2,18,998,1,8
"201420M015404",1,9,19,2,0,0,1,2,27,998,1,8
"201405AA02599",2,9,5,4,0,0,2,2,51,998,1,1
"2014460246035",1,9,7,6,0,0,1,1,40,998,1,3
"2014131CA1368",1,9,19,1,0,0,1,2,20,998,1,7
"201404DL14056",2,9,19,1,0,0,1,1,42,998,1,7
"2014131CQ0518",2,9,9,1,0,0,1,2,33,998,1,5
"201401RG40644",2,9,19,8,0,0,1,1,-1,998,1,1
"2014554D45239",1,9,4,4,0,0,1,2,58,998,1,6
"201404ED14091",1,9,19,8,0,0,1,1,82,998,1,0
"2014360078170",2,9,19,8,0,0,1,1,55,998,1,1
"201401YE80834",1,9,19,2,0,0,1,2,54,998,1,4
"2014404DA0954",1,9,19,8,0,0,1,1,42,998,1,5
"201404FB14021",2,9,9,1,0,0,2,1,44,998,1,2
"2014214001082",2,9,19,0,0,0,3,2,20,998,1,5
"2014530208483",2,9,19,0,0,0,3,1,81,998,1,6
"2014521403608",1,9,9,6,0,0,1,2,38,998,1,5
"201423S031473",1,9,9,6,0,0,1,2,19,998,1,8
"201443W168114",2,9,7,4,0,0,2,2,65,998,1,4
"201401RG40129",1,9,9,8,0,0,0,1,30,1299,1,15
"2014440335702",2,3,19,8,0,0,4,1,27,-1,-1,-1
"2014170S30844",2,3,19,8,0,0,1,1,17,125,1,2
"201420K004624",2,3,19,1,1,0,4,1,26,125,1,1
"201420N060424",2,3,19,8,0,0,1,1,26,125,1,2
"2014170S31074",2,3,19,8,0,0,4,1,40,125,1,0
"201404CL14161",2,3,13,1,1,0,1,1,43,125,1,3
"201420G005854",1,3,19,8,0,0,4,1,23,125,1,2
"201411ND04484",2,3,9,8,0,0,4,2,16,-1,-1,-1
"2014074192277",2,5,19,0,0,0,1,1,38,996,1,9
"2014160C01931",2,19,19,0,0,0,2,1,51,1995,2,3
"201401KG70222",1,19,4,1,0,0,2,1,45,1995,2,5
"2014120064468",3,19,3,8,0,0,0,1,55,1995,2,6
"2014300007194",2,19,5,1,0,0,0,2,52,2464,2,6
"201401ZT80013",1,19,19,2,0,0,1,1,40,1995,2,3
"201406A086006",1,19,19,8,1,0,1,1,26,1995,2,0
"2014471404027",2,19,19,3,0,0,4,1,34,1995,2,1
"2014160D03981",1,19,19,8,0,0,1,1,37,1995,2,4
"201401YR90759",1,19,5,8,0,0,4,1,25,1995,2,1
"201401CW11301",1,19,4,0,0,0,1,1,54,1995,2,6
"2014460250701",2,19,2,0,0,0,3,1,56,1995,2,1
"201442I422512",3,19,2,0,0,0,1,1,52,2463,2,8
"201401GD10928",2,19,19,1,0,0,1,1,55,1870,2,10
"201420S034464",1,19,19,8,0,0,1,1,32,1995,2,5
"201463DP14914",3,19,3,1,0,0,2,1,37,1995,2,6
