"collision_index","severity_rating"
"197901A2RGC37",2
"197901A2RHR96",3
"197901A4HLW96",2
"197901A6KKU10",2
"197901A7UCX33",2
"197901A7WEQ12",2
"197901A8IIW55",3
"197901A8MBD01",2
"197901A9KBJ00",2
"197901A9RJX02",2
"197901AAHIC96",2
"197901AARAC71",2
"197901AASAP50",3
"197901AASKC25",2
"197901AAUDI81",2
"197901ABHDV31",2
"197901ACQJD92",2
"197901ADPAV11",3
"197901ADVDI55",2
"197901AGUFC52",2
"197901AHGJC62",2
"197901AHKGD39",3
"197901AHKKC81",3
"197901AIJAW86",2
"197901ALJBF30",2
"197901ALMAE81",1
"197901AMIGE48",2
"197901AONAO85",3
"197901APABF02",3
"197901APQDJ06",2
"197901APVBC19",2
"197901ATLDD01",2
"197901AVQCW56",2
"197901B2IEI74",2
"197901B3EBC15",3
"197901B3MAV82",2
"197901B5SGI85",2
"197901B6HDQ27",2
"197901B6HKX33",2
"197901B6PGD02",2
"197901B8REU89",3
"197901B9VHE33",2
"197901BAPIF19",2
"197901BASCC73",2
"197901BCMLU20",2
"197901BCQFV52",2
"197901BDRDI16",2
"197901BFRDE66",2
"197901BFTBL20",3
"197901BGNEE50",3
"197901BIAED30",2
"197901BJIGD90",2
"197901BLSLE47",2
"197901BMJGX08",2
"197901BOCGL88",2
"197901BONAD84",2
"197901BQNFD90",2
"197901BQRCD49",2
"197901BQTDD49",2
"197901C1PKI69",2
"197901C1QAF00",2
"197901C1SCI96",3
"197901C2AGE27",3
"197901C2PIU23",3
"197901C3FDD02",2
"197901C3PCC79",1
"197901C3RDO47",2
"197901C3SFC12",2
"197901C3TEI25",3
"197901C3VAD90",2
"197901C4DH612",3
"197901C4OAW86",2
"197901C4SCC67",2
"197901C6LLC82",3
"197901C9UAW90",2
"197901CANCE13",2
"197901CAXKF23",2
"197901CBOEC25",2
"197901CBRDV49",2
"197901CCOAL07",2
"197901CDTJE38",2
"197901CERHC45",2
"197901CEWFD08",2
"197901CHNLP50",2
"197901CLQAE27",2
"197901CLQCC13",2
"197901CMPLC87",2
"197901CNIGR32",2
"197901CNJCF15",3
"197901CNSCI19",2
"197901CQSIE06",2
"197901CSNKS05",2
"197901CTOEC20",2
"197901D1OFC99",3
"197901D1UEC60",2
"197901D2LAO12",3
"197901D2UII12",2
"197901D3IIL58",2
"197901D3QJW16",2
"197901D5SHF18",2
"197901D5UHE55",2
"197901D8XLE71",3
"197901DBHLD07",2
"197901DBOGQ02",2
"197901DBRHK47",2
"197901DCPAC42",2
"197901DEAGC19",2
"197901DEOBU97",2
"197901DGPBU79",2
"197901DHUAC27",1
"197901DKRAI37",3
"197901DKXID05",2
"197901DNSAC90",3
"197901DNSLW72",3
"197901DNTGC44",2
"197901DPRJD10",2
"197901DPXK660",2
"197901DSBEF33",2
"197901DSJBV39",2
"197901DSNKK59",2
"197901DTQAD07",3
"197901DUUCI58",2
"197901E2MAC16",2
"197901E4BKF63",2
"197901E4TEU67",2
"197901E5HCE94",2
"197901E5KID42",2
"197901E6MBF26",3
"197901E6REE75",2
"197901E7PGU77",2
"197901E7PIF20",4
"197901E8TJU70",3
"197901E8VBL35",3
"197901E9QLC95",2
"197901EAXJF17",2
"197901EBTKE63",2
"197901ECNGV61",2
"197901ECRLC87",3
"197901EEOBP45",2
"197901EESAC45",2
"197901EIUAF01",2
"197901EKOCV77",3
"197901EKXJC36",1
"197901ELPGX05",2
"197901ELUGV32",2
"197901EMHKP31",2
"197901EMWJU29",2
"197901ENNKC96",3
"197901EONJD86",2
"197901EQJEX30",3
"197901EQQJE86",2
"197901ETIFC90",2
